boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
200,11,2403,1.614353e-03,5.226932e-03,1.188015e-02,0.000000e+00,0.000000e+00
201,13,2416,1.057354e-03,5.085669e-03,1.000000e-02,0.000000e+00,0.000000e+00
202,11,2427,8.223951e-04,5.121445e-03,1.082376e-02,0.000000e+00,0.000000e+00
203,20,2447,7.684692e-04,4.963978e-03,9.438355e-03,0.000000e+00,0.000000e+00
204,13,2460,1.073005e-03,5.112943e-03,1.005941e-02,0.000000e+00,0.000000e+00
205,17,2477,7.030377e-04,5.177258e-03,1.189567e-02,0.000000e+00,0.000000e+00
206,13,2490,1.312222e-03,5.231421e-03,1.053712e-02,0.000000e+00,0.000000e+00
207,10,2500,1.260520e-03,5.142542e-03,1.000000e-02,0.000000e+00,0.000000e+00
208,16,2516,7.325581e-04,5.186621e-03,1.050988e-02,0.000000e+00,0.000000e+00
209,14,2530,9.987376e-04,4.977678e-03,1.000000e-02,0.000000e+00,0.000000e+00
210,11,2541,1.364649e-03,5.036382e-03,1.027587e-02,0.000000e+00,0.000000e+00
211,15,2556,1.052410e-03,4.985034e-03,1.019610e-02,0.000000e+00,0.000000e+00
212,12,2568,1.518908e-03,5.086580e-03,1.314009e-02,0.000000e+00,0.000000e+00
213,12,2580,1.003646e-03,5.030586e-03,1.000000e-02,0.000000e+00,0.000000e+00
214,15,2595,1.113313e-03,5.073948e-03,1.017668e-02,0.000000e+00,0.000000e+00
215,20,2615,9.267493e-04,4.913059e-03,1.087187e-02,0.000000e+00,0.000000e+00
216,19,2634,9.165159e-04,4.897784e-03,1.000000e-02,0.000000e+00,0.000000e+00
217,13,2647,1.237982e-03,4.904914e-03,1.000000e-02,0.000000e+00,0.000000e+00
218,20,2667,9.461091e-04,5.001362e-03,1.447046e-02,0.000000e+00,0.000000e+00
219,14,2681,1.161474e-03,4.903134e-03,1.251408e-02,0.000000e+00,0.000000e+00
220,14,2695,1.009916e-03,5.186284e-03,1.750926e-02,0.000000e+00,0.000000e+00
221,14,2709,1.029571e-03,5.054214e-03,1.179466e-02,0.000000e+00,0.000000e+00
222,14,2723,8.888230e-04,5.267266e-03,1.483008e-02,0.000000e+00,0.000000e+00
223,14,2737,1.073585e-03,5.268127e-03,1.093995e-02,0.000000e+00,0.000000e+00
224,10,2747,1.291977e-03,5.272257e-03,1.629492e-02,0.000000e+00,0.000000e+00
225,19,2766,9.417242e-04,5.172634e-03,1.814398e-02,0.000000e+00,0.000000e+00
226,10,2776,1.370612e-03,5.195424e-03,1.357558e-02,0.000000e+00,0.000000e+00
227,15,2791,1.016314e-03,5.140602e-03,1.821472e-02,0.000000e+00,0.000000e+00
228,12,2803,1.290434e-03,5.192198e-03,1.750869e-02,0.000000e+00,0.000000e+00
229,13,2816,8.100021e-04,4.893899e-03,1.587716e-02,0.000000e+00,0.000000e+00
230,12,2828,1.144998e-03,5.027397e-03,1.129879e-02,0.000000e+00,0.000000e+00
231,13,2841,1.127775e-03,4.907794e-03,1.000000e-02,0.000000e+00,0.000000e+00
232,17,2858,8.436164e-04,5.088663e-03,1.180141e-02,0.000000e+00,0.000000e+00
233,14,2872,1.058256e-03,5.067627e-03,1.000000e-02,0.000000e+00,0.000000e+00
234,11,2883,1.332274e-03,5.209167e-03,1.141226e-02,0.000000e+00,0.000000e+00
235,16,2899,1.248535e-03,5.071051e-03,1.000000e-02,0.000000e+00,0.000000e+00
236,19,2918,8.238321e-04,5.148537e-03,1.190937e-02,0.000000e+00,0.000000e+00
237,15,2933,1.045069e-03,5.134286e-03,1.000000e-02,0.000000e+00,0.000000e+00
238,13,2946,7.001603e-04,5.238963e-03,1.033231e-02,0.000000e+00,0.000000e+00
239,15,2961,8.946979e-04,5.125155e-03,1.000000e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 221495, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 240, 'capped_boundaries': 0, 'unfinished_worlds': 0}
240,14,2975,1.104295e-03,5.356712e-03,1.307188e-02,0.000000e+00,0.000000e+00
241,13,2988,1.174624e-03,5.084427e-03,1.437906e-02,0.000000e+00,0.000000e+00
242,11,2999,9.013256e-04,5.201789e-03,1.330388e-02,0.000000e+00,0.000000e+00
243,11,3010,1.395709e-03,5.002295e-03,1.090967e-02,0.000000e+00,0.000000e+00
244,9,3019,1.154876e-03,5.322966e-03,1.310785e-02,0.000000e+00,0.000000e+00
245,11,3030,1.471845e-03,5.317247e-03,1.038774e-02,0.000000e+00,0.000000e+00
246,11,3041,1.408053e-03,5.353305e-03,1.022406e-02,0.000000e+00,0.000000e+00
247,14,3055,1.101039e-03,5.232479e-03,1.100368e-02,0.000000e+00,0.000000e+00
248,15,3070,6.973324e-04,5.187020e-03,1.106549e-02,0.000000e+00,0.000000e+00
249,13,3083,1.250499e-03,5.055167e-03,9.507529e-03,0.000000e+00,0.000000e+00
250,10,3093,1.319141e-03,5.195534e-03,1.089000e-02,0.000000e+00,0.000000e+00
251,11,3104,1.181925e-03,5.143365e-03,1.131067e-02,0.000000e+00,0.000000e+00
252,14,3118,8.320044e-04,5.300310e-03,1.214249e-02,0.000000e+00,0.000000e+00
253,11,3129,9.859572e-04,5.192433e-03,1.000000e-02,0.000000e+00,0.000000e+00
254,14,3143,1.050179e-03,5.246231e-03,1.116115e-02,0.000000e+00,0.000000e+00
255,14,3157,8.892990e-04,5.068942e-03,1.000000e-02,0.000000e+00,0.000000e+00
256,14,3171,1.501901e-03,5.137179e-03,1.079980e-02,0.000000e+00,0.000000e+00
257,13,3184,1.016997e-03,5.097088e-03,1.000000e-02,0.000000e+00,0.000000e+00
258,15,3199,1.030766e-03,5.323546e-03,1.261682e-02,0.000000e+00,0.000000e+00
259,26,3225,6.603286e-04,5.185778e-03,1.670124e-02,0.000000e+00,0.000000e+00
260,12,3237,7.597021e-04,5.281200e-03,1.089000e-02,0.000000e+00,0.000000e+00
